name,type,neighborhood,price_tier,quality_score,vibe_tags,local_insight,source_query,address
"Kin & Folk Kelowna","restaurant","downtown","$$","10","romantic|cozy|unique","Go for late-night happy hour if you want great value, and ask Rafael for service—he's flawless.","restaurant Kelowna BC","281 Lawrence Ave, Kelowna, BC V1Y 6L2, Canada"
"King Taps","cocktail_bar","downtown","$$","9","casual|lively|chill","Get the breakfast pizza during brunch or hit happy hour for the best value on drinks and food.","restaurant Kelowna BC","1352 Water St, Kelowna, BC V1Y 9P4, Canada"
"Derrick's Steakhouse","restaurant","downtown","$$","9","boujee|intimate|romantic","Ask your server for a striploin or tenderloin recommendation and request Cody if you want attentive, knowledgeable service.","restaurant Kelowna BC","1560 Water St, Kelowna, BC V1Y 1J7, Canada"
"HUMO Kelowna","restaurant","downtown","$$","9","adventurous|unique|intimate","Go for the tasting menu on a quieter night and try the spirulina margarita—it's as visually stunning as it tastes.","restaurant Kelowna BC","210 Lawrence Ave, Kelowna, BC V1Y 6L3, Canada"
"Bohemian Café","cafe","downtown","$$","9","cozy|casual|chill","Go early for breakfast to avoid the coffee wait, and order the ham and croissant—it's distinctly better than anywhere else in town.","restaurant Kelowna BC","524 Bernard Ave, Kelowna, BC V1Y 6P1, Canada"
"The Cozy Cafe + Bar (formerly The Nook Café + Bar)","cocktail_bar","downtown","$$","9","cozy|casual|chill","Go for brunch before 11am to beat the lineup, and ask about their gluten-free options if needed.","cafe Kelowna BC","567 Bernard Ave, Kelowna, BC V1Y 6N9, Canada"
"Black Rabbit Coffee House","cafe","lower_mission","$$","10","cozy|chill|intimate","Order the date square and grab a seat by the window to watch the Lower Mission foot traffic while you sip.","cafe Kelowna BC","652 Cook Rd, Kelowna, BC V1W 3G7, Canada"
"Analog Coffee - One Water","cafe","downtown","$$","9","chill|casual|cozy","Order the medium roast cappuccino with cream and grab a patio seat on the sunny side if you want to linger.","cafe Kelowna BC","1177 Sunset Dr, Kelowna, BC V1Y 0J5, Canada"
"Sprout Bread","cafe","downtown","$$","9","cozy|casual|chill","Order the toast with their house butter and grab a patio seat with a blanket if it's cool out—skip the breakfast mains unless you're just here for the bread.","cafe Kelowna BC","1295 Cannery Ln #125, Kelowna, BC V1Y 9V8, Canada"
"Abbott St. Cafe","cafe","downtown","$$","9","chill|romantic|cozy","Grab a seat on the terrace overlooking the lake on a clear day, order the pumpkin scones, and go early to avoid the afternoon crowds.","cafe Kelowna BC","2245 Abbott St #101, Kelowna, BC V1Y 1E4, Canada"
